,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name,window
71,47.366031646728516,44.14545822143555,1,20,100,128,0.001,10.0,g10.0,1
72,45.44187545776367,44.55681228637695,1,20,100,128,0.001,10.0,g10.0,1
73,36.559654235839844,44.835845947265625,1,20,100,128,0.001,10.0,g10.0,1
74,38.78666687011719,44.915191650390625,1,20,100,128,0.001,10.0,g10.0,1
75,49.255287170410156,44.806678771972656,1,20,100,128,0.001,10.0,g10.0,1
76,51.089385986328125,44.598140716552734,1,20,100,128,0.001,10.0,g10.0,1
77,50.897403717041016,44.3077278137207,1,20,100,128,0.001,10.0,g10.0,1
78,53.1058235168457,44.0146484375,1,20,100,128,0.001,10.0,g10.0,1
79,47.52568054199219,43.788475036621094,1,20,100,128,0.001,10.0,g10.0,1
80,52.02161407470703,43.71219253540039,1,20,100,128,0.001,10.0,g10.0,1
81,43.50824737548828,43.771331787109375,1,20,100,128,0.001,10.0,g10.0,1
82,43.742828369140625,43.99248504638672,1,20,100,128,0.001,10.0,g10.0,1
83,41.931678771972656,44.35167694091797,1,20,100,128,0.001,10.0,g10.0,1
84,39.10826110839844,44.880859375,1,20,100,128,0.001,10.0,g10.0,1
85,43.93895721435547,45.52219772338867,1,20,100,128,0.001,10.0,g10.0,1
86,53.300113677978516,46.20524215698242,1,20,100,128,0.001,10.0,g10.0,1
87,56.462852478027344,46.8538932800293,1,20,100,128,0.001,10.0,g10.0,1
88,54.823848724365234,47.4275016784668,1,20,100,128,0.001,10.0,g10.0,1
89,36.02259063720703,47.92229080200195,1,20,100,128,0.001,10.0,g10.0,1
90,41.829505920410156,48.37397003173828,1,20,100,128,0.001,10.0,g10.0,1
91,40.26142883300781,48.755470275878906,1,20,100,128,0.001,10.0,g10.0,1
92,33.78107452392578,49.070411682128906,1,20,100,128,0.001,10.0,g10.0,1
93,46.03851318359375,49.32723617553711,1,20,100,128,0.001,10.0,g10.0,1
94,45.88960647583008,49.43404006958008,1,20,100,128,0.001,10.0,g10.0,1
95,34.11738586425781,49.37799072265625,1,20,100,128,0.001,10.0,g10.0,1
96,30.291030883789062,49.23454666137695,1,20,100,128,0.001,10.0,g10.0,1
